split,model,n_train_rows,n_test_rows,n_train_peptides,n_test_peptides,test_positive_rate,roc_auc,pr_auc,brier_score,ece_10_equal_width,precision_at_20,enrichment_at_20,precision_at_50,enrichment_at_50,precision_at_100,enrichment_at_100,precision_at_200,enrichment_at_200,precision_at_500,enrichment_at_500
exact,sequence_only,16630,4155,13865,3467,0.3003610108303249,0.724429951355261,0.5345925792598543,0.1999245145580271,0.13476493255822625,0.9,2.996394230769231,0.78,2.5968750000000003,0.78,2.5968750000000003,0.71,2.3638221153846155,0.618,2.0575240384615383
exact,biological_only,16630,4155,13865,3467,0.3003610108303249,0.871551758355164,0.7452426442858983,0.14602138195560127,0.11151603102680514,1.0,3.3293269230769234,1.0,3.3293269230769234,0.99,3.296033653846154,0.915,3.046334134615385,0.836,2.7833173076923075
exact,assay_only,16630,4155,13865,3467,0.3003610108303249,0.5846157429458513,0.3973027230443482,0.232342429050348,0.19118451257083485,0.9,2.996394230769231,0.82,2.730048076923077,0.83,2.763341346153846,0.82,2.730048076923077,0.48,1.598076923076923
exact,evidence_only,16630,4155,13865,3467,0.3003610108303249,0.5175484076896615,0.32059230380397225,0.2487693081632407,0.19898703739847395,0.7,2.3305288461538463,0.54,1.7978365384615387,0.52,1.7312500000000002,0.435,1.4482572115384615,0.358,1.1918990384615384
exact,sequence_plus_biological,16630,4155,13865,3467,0.3003610108303249,0.8831645596835225,0.763573780561308,0.13516891961414224,0.08959954351077655,1.0,3.3293269230769234,0.96,3.196153846153846,0.97,3.229447115384615,0.93,3.0962740384615386,0.856,2.849903846153846
exact,sequence_plus_assay,16630,4155,13865,3467,0.3003610108303249,0.7615692503947148,0.6023629425687329,0.18665780275575578,0.12976499923626428,0.95,3.1628605769230766,0.8,2.6634615384615388,0.8,2.6634615384615388,0.83,2.763341346153846,0.736,2.4503846153846154
exact,sequence_plus_all_no_evidence,16630,4155,13865,3467,0.3003610108303249,0.8922618811357202,0.7707108934914234,0.1296255925154317,0.08537960220943956,0.95,3.1628605769230766,0.94,3.1295673076923074,0.96,3.196153846153846,0.89,2.9631009615384616,0.858,2.8565625
exact,sequence_plus_all_with_evidence,16630,4155,13865,3467,0.3003610108303249,0.892269599022695,0.7707410220487149,0.1296116377934557,0.0853764933875371,0.95,3.1628605769230766,0.94,3.1295673076923074,0.96,3.196153846153846,0.89,2.9631009615384616,0.858,2.8565625
exact,all_context_no_sequence_no_evidence,16630,4155,13865,3467,0.3003610108303249,0.8802608425286443,0.7548639340813297,0.14007390463052063,0.10702779079371605,0.95,3.1628605769230766,0.98,3.2627403846153844,0.98,3.2627403846153844,0.935,3.1129206730769234,0.82,2.730048076923077
cluster,sequence_only,16637,4148,13865,3467,0.3003857280617165,0.7001584947780519,0.5003871179489384,0.20237640806519572,0.12009847326393205,0.85,2.8296950240770467,0.78,2.596661316211878,0.66,2.1971749598715893,0.65,2.163884430176565,0.574,1.910876404494382
cluster,biological_only,16637,4148,13865,3467,0.3003857280617165,0.866810596112937,0.748791711481248,0.14922713267964177,0.11338896846615666,0.95,3.1626003210272873,0.98,3.2624719101123594,0.98,3.2624719101123594,0.93,3.0960192616372395,0.86,2.8629855537720705
cluster,assay_only,16637,4148,13865,3467,0.3003857280617165,0.5841916738663654,0.38511549686034224,0.23284424204281995,0.19066104086586264,0.75,2.496789727126806,0.7,2.3303370786516853,0.73,2.430208667736758,0.75,2.496789727126806,0.466,1.551338683788122
cluster,evidence_only,16637,4148,13865,3467,0.3003857280617165,0.5186302577621235,0.32108531601845147,0.24886613615798953,0.19908781309095325,0.7,2.3303370786516853,0.58,1.9308507223113964,0.52,1.731107544141252,0.43,1.4314927768860353,0.35,1.1651685393258426
cluster,sequence_plus_biological,16637,4148,13865,3467,0.3003857280617165,0.8729912287203268,0.7504544281668103,0.13951867037019056,0.08547534809442604,0.95,3.1626003210272873,0.98,3.2624719101123594,0.96,3.195890850722311,0.91,3.0294382022471913,0.852,2.836353130016051
cluster,sequence_plus_assay,16637,4148,13865,3467,0.3003857280617165,0.7440851386048034,0.5620509519839078,0.1897766912134682,0.11660046865268558,0.8,2.6632423756019263,0.82,2.729823434991974,0.74,2.4634991974317817,0.735,2.4468539325842698,0.678,2.2570979133226325
cluster,sequence_plus_all_no_evidence,16637,4148,13865,3467,0.3003857280617165,0.8842786233659634,0.7547388080254074,0.1333443247513682,0.08352327088118919,0.9,2.996147672552167,0.9,2.996147672552167,0.9,2.996147672552167,0.875,2.912921348314607,0.852,2.836353130016051
