split,model,candidate_id,parameters_json,mean_group_cv_pr_auc,std_group_cv_pr_auc,fold_pr_auc_json,search_seconds
exact,elastic_logistic,0,"{""alpha"": 1e-05, ""l1_ratio"": 0.15}",0.20245406988496742,0.013945600432063308,"[0.18664072699099657, 0.2077276041727756, 0.21299387849113013]",0.07891491599730216
exact,elastic_logistic,1,"{""alpha"": 1e-05, ""l1_ratio"": 0.5}",0.19664784018222992,0.01227842669355962,"[0.18253350775535884, 0.20254355162816504, 0.20486646116316584]",0.08180837499094196
exact,elastic_logistic,2,"{""alpha"": 1e-05, ""l1_ratio"": 0.85}",0.1900445064607289,0.010454440955129256,"[0.1779739098775462, 0.19622423216947937, 0.19593537733516114]",0.13237404100073036
exact,elastic_logistic,3,"{""alpha"": 0.0001, ""l1_ratio"": 0.15}",0.20178836927612923,0.006184371164351749,"[0.1947363031193938, 0.20434089380844525, 0.2062879109005486]",0.10006362499552779
exact,elastic_logistic,4,"{""alpha"": 0.0001, ""l1_ratio"": 0.5}",0.19316583848336358,0.005892715002760432,"[0.186363854258607, 0.19641240242998254, 0.1967212587615012]",0.07487345799745526
exact,elastic_logistic,5,"{""alpha"": 0.0001, ""l1_ratio"": 0.85}",0.18895655132639785,0.001878945332879593,"[0.1874760624112439, 0.19107031316392664, 0.188323278404023]",0.08763249999901745
exact,elastic_logistic,6,"{""alpha"": 0.001, ""l1_ratio"": 0.15}",0.1723484361448778,0.007058025253146875,"[0.16567034847147927, 0.17973322827377974, 0.1716417316893743]",0.09407829199335538
exact,elastic_logistic,7,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.14059222515483105,0.01794863226335473,"[0.12086560757192669, 0.15595997026424754, 0.14495109762831895]",0.051992874999996275
exact,elastic_logistic,8,"{""alpha"": 0.001, ""l1_ratio"": 0.85}",0.12195381219405087,0.011458307252096737,"[0.10964176215389011, 0.13230541499792764, 0.12391425943033484]",0.030939833988668397
exact,random_forest,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.276233799438188,0.03550347702746875,"[0.23932018487387294, 0.3101352069381528, 0.2792460065025382]",6.368789874992217
exact,random_forest,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.23481162905614614,0.033862380263859924,"[0.20032812832960428, 0.26801667890186087, 0.2360900799369732]",5.206880583005841
exact,random_forest,2,"{""max_features"": ""log2"", ""min_samples_leaf"": 1}",0.2915978408428549,0.03996079302597946,"[0.2578249521688665, 0.33571311130632686, 0.28125545905337135]",7.000633290997939
exact,random_forest,3,"{""max_features"": ""log2"", ""min_samples_leaf"": 3}",0.24411498548133773,0.024647737802749675,"[0.2191464313718263, 0.2684288634614584, 0.24476966161072855]",3.513616374999401
exact,xgboost,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1}",0.23557338611736797,0.036970119109711756,"[0.19454726969355718, 0.26630569260745984, 0.2458671960510868]",16.842005500002415
exact,xgboost,1,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1}",0.23797396088227782,0.020637931765594388,"[0.22646507325828866, 0.2618000221317106, 0.2256567872568341]",18.0570797919936
exact,xgboost,2,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1}",0.24181272606660711,0.03251770004604621,"[0.2049680228780233, 0.26650019549646314, 0.253969959825335]",39.88919737499964
exact,xgboost,3,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1}",0.24176876465880928,0.025981469881719593,"[0.22855873866805118, 0.2717009760973646, 0.22504657921101215]",34.623197291992255
cluster,elastic_logistic,0,"{""alpha"": 1e-05, ""l1_ratio"": 0.15}",0.18155407193099857,0.003212512936389641,"[0.17793342550695876, 0.1826655182078313, 0.18406327207820564]",0.11189812500379048
cluster,elastic_logistic,1,"{""alpha"": 1e-05, ""l1_ratio"": 0.5}",0.17687648271573245,0.004000532353685006,"[0.17230214525894674, 0.17972117878557684, 0.17860612410267374]",0.11561816598987207
cluster,elastic_logistic,2,"{""alpha"": 1e-05, ""l1_ratio"": 0.85}",0.16799853282885913,0.0041794088181927695,"[0.16338155871930776, 0.16909041780267872, 0.17152362196459092]",0.23207320900110062
cluster,elastic_logistic,3,"{""alpha"": 0.0001, ""l1_ratio"": 0.15}",0.18774050722793575,0.014479204656817055,"[0.17224754217189875, 0.1900442521338283, 0.20092972737808018]",0.13190800001029857
cluster,elastic_logistic,4,"{""alpha"": 0.0001, ""l1_ratio"": 0.5}",0.18261315720422747,0.016165704494440408,"[0.165012996782508, 0.18602753721466064, 0.1967989376155138]",0.08924679100164212
cluster,elastic_logistic,5,"{""alpha"": 0.0001, ""l1_ratio"": 0.85}",0.17186506662903075,0.01607616670355718,"[0.15452579305330155, 0.17479403013059208, 0.18627537670319855]",0.11572950000117999
cluster,elastic_logistic,6,"{""alpha"": 0.001, ""l1_ratio"": 0.15}",0.163526276146623,0.015809635736373315,"[0.14548303023004186, 0.17495113436433904, 0.1701446638454881]",0.13162141699285712
cluster,elastic_logistic,7,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.13503028208588216,0.014256370749556229,"[0.12135517257895628, 0.14980431224905888, 0.13393136142963133]",0.06089774999418296
cluster,elastic_logistic,8,"{""alpha"": 0.001, ""l1_ratio"": 0.85}",0.11689017330486375,0.011432446327999316,"[0.10500145892282954, 0.12780390488300392, 0.11786515610875782]",0.0506774580135243
cluster,random_forest,0,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",0.27914111336627706,0.010362664458189157,"[0.267219192538894, 0.28421569490374, 0.28598845265619716]",10.920458458000212
cluster,random_forest,1,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 3}",0.2290693990966087,0.01916891734732682,"[0.22394031967032427, 0.21298677279322717, 0.2502811048262746]",7.766276957991067
cluster,random_forest,2,"{""max_features"": ""log2"", ""min_samples_leaf"": 1}",0.2925596477404658,0.012312497093834246,"[0.27958028469710694, 0.3040742358211963, 0.2940244227030941]",8.923924875009106
cluster,random_forest,3,"{""max_features"": ""log2"", ""min_samples_leaf"": 3}",0.262209353661823,0.016046743732541637,"[0.2572761315298376, 0.24920840273617562, 0.2801435267194559]",5.534895749995485
cluster,xgboost,0,"{""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1}",0.20965397324725568,0.0164632943420774,"[0.21143946796950316, 0.19237070829084235, 0.22515174348142153]",20.576284082999337
cluster,xgboost,1,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1}",0.20815902501636555,0.01401415827815544,"[0.1962749312714104, 0.20458934916680002, 0.22361279461088623]",18.96365320899349
cluster,xgboost,2,"{""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 1}",0.22003540424224796,0.016037341222414448,"[0.2236577055649835, 0.20249671361654897, 0.23395179354521137]",34.48274274999858
cluster,xgboost,3,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1}",0.22031581586170823,0.019769577563664827,"[0.20215067531476577, 0.2174252099179792, 0.24137156235237972]",27.841713958012406
temporal,elastic_logistic,0,"{""alpha"": 1e-05, ""l1_ratio"": 0.15}",0.22130751125021816,0.010348603602368464,"[0.225301264814117, 0.229064149007761, 0.20955711992877643]",0.07503875000111293
temporal,elastic_logistic,1,"{""alpha"": 1e-05, ""l1_ratio"": 0.5}",0.21581348110712942,0.01184908224423309,"[0.22387366418529864, 0.22135813951728092, 0.20220863961880878]",0.09360662501421757
temporal,elastic_logistic,2,"{""alpha"": 1e-05, ""l1_ratio"": 0.85}",0.20487542375006643,0.011259184587495722,"[0.21427818520612324, 0.20794966488306432, 0.1923984211610117]",0.1986638339876663
temporal,elastic_logistic,3,"{""alpha"": 0.0001, ""l1_ratio"": 0.15}",0.21477096074610805,0.011905309004970168,"[0.20208591220760797, 0.22570189870483143, 0.2165250713258848]",0.0804868749983143
