split,model,n_train,n_test,positive_rate,roc_auc,pr_auc,brier_score,precision_at_20,enrichment_at_20,precision_at_50,enrichment_at_50,precision_at_100,enrichment_at_100,precision_at_200,enrichment_at_200,precision_at_500,enrichment_at_500
exact,elastic_logistic,7734,1934,0.09203722854188211,0.7418161807990581,0.3606405663404083,0.10012625508135445,0.9,9.778651685393259,0.62,6.736404494382023,0.44,4.780674157303371,0.335,3.6398314606741575,0.218,2.368606741573034
exact,random_forest,7734,1934,0.09203722854188211,0.8386751042973049,0.4720332520584153,0.06436312926577042,0.9,9.778651685393259,0.66,7.171011235955056,0.56,6.084494382022473,0.425,4.617696629213484,0.282,3.0639775280898873
exact,xgboost,7734,1934,0.09203722854188211,0.8143380000511888,0.4086857209320915,0.15081181208400152,0.9,9.778651685393259,0.56,6.084494382022473,0.49,5.323932584269663,0.38,4.1287640449438205,0.254,2.759752808988764
exact,stacked_ensemble,7734,1934,0.09203722854188211,0.8471724552737325,0.4789932611644768,0.1721605395589818,0.9,9.778651685393259,0.66,7.171011235955056,0.54,5.867191011235955,0.455,4.943651685393259,0.28,3.0422471910112363
cluster,elastic_logistic,7735,1933,0.09208484221417486,0.6829475975543391,0.20022668711257927,0.13705638729075303,0.25,2.714887640449438,0.3,3.257865168539326,0.3,3.257865168539326,0.245,2.6605898876404495,0.166,1.802685393258427
cluster,random_forest,7735,1933,0.09208484221417486,0.8380726015557476,0.4043084896042638,0.06942633833419555,0.65,7.0587078651685395,0.54,5.864157303370787,0.51,5.538370786516854,0.44,4.778202247191011,0.276,2.99723595505618
cluster,xgboost,7735,1933,0.09208484221417486,0.733230897275841,0.20412461800416196,0.121904543971942,0.35,3.8008426966292133,0.3,3.257865168539326,0.25,2.714887640449438,0.25,2.714887640449438,0.194,2.106752808988764
cluster,stacked_ensemble,7735,1933,0.09208484221417486,0.8298216972374276,0.3721174158208416,0.17477913656544272,0.65,7.0587078651685395,0.54,5.864157303370787,0.44,4.778202247191011,0.4,4.343820224719101,0.262,2.8452022471910112
temporal,elastic_logistic,7732,1935,0.11627906976744186,0.547558154645874,0.12229987837187802,0.16241070477401906,0.05,0.43000000000000005,0.04,0.34400000000000003,0.05,0.43000000000000005,0.065,0.559,0.13,1.118
temporal,random_forest,7732,1935,0.11627906976744186,0.5718063677712801,0.14479404075813207,0.11254273074935399,0.05,0.43000000000000005,0.04,0.34400000000000003,0.09,0.774,0.18,1.548,0.154,1.3244
temporal,xgboost,7732,1935,0.11627906976744186,0.5788330084470436,0.15051029801756322,0.28440966977985593,0.1,0.8600000000000001,0.12,1.032,0.16,1.3760000000000001,0.165,1.419,0.16,1.3760000000000001
temporal,stacked_ensemble,7732,1935,0.11627906976744186,0.5727537361923327,0.14736519067781456,0.3172436074690989,0.05,0.43000000000000005,0.08,0.6880000000000001,0.11,0.9460000000000001,0.18,1.548,0.168,1.4448
