split,model,n_train,n_test,positive_rate,roc_auc,pr_auc,brier_score,precision_at_20,enrichment_at_20,precision_at_50,enrichment_at_50,precision_at_100,enrichment_at_100,precision_at_200,enrichment_at_200,precision_at_500,enrichment_at_500,ci_low,ci_high
exact,elastic_logistic,7734,1934,0.0920372285418821,0.7418161807990581,0.3606405663404083,0.1001262550813544,0.9,9.77865168539326,0.62,6.736404494382023,0.44,4.780674157303371,0.335,3.6398314606741575,0.218,2.368606741573034,0.2938074063136731,0.433469973947906
exact,random_forest,7734,1934,0.0920372285418821,0.8386751042973049,0.4720332520584153,0.0643631292657704,0.9,9.77865168539326,0.66,7.171011235955056,0.56,6.084494382022473,0.425,4.617696629213484,0.282,3.0639775280898878,0.3997073996184333,0.5459793208021092
exact,xgboost,7734,1934,0.0920372285418821,0.8143380000511888,0.4086857209320915,0.1508118120840015,0.9,9.77865168539326,0.56,6.084494382022473,0.49,5.323932584269663,0.38,4.1287640449438205,0.254,2.759752808988764,0.3373784834316231,0.4822416612305125
exact,stacked_ensemble,7734,1934,0.0920372285418821,0.8471724552737325,0.4789932611644768,0.1721605395589818,0.9,9.77865168539326,0.66,7.171011235955056,0.54,5.867191011235955,0.455,4.943651685393259,0.28,3.0422471910112363,0.4060888250070807,0.5516017370796563
cluster,elastic_logistic,7735,1933,0.0920848422141748,0.6829475975543391,0.2002266871125792,0.137056387290753,0.25,2.714887640449438,0.3,3.257865168539326,0.3,3.257865168539326,0.245,2.660589887640449,0.166,1.802685393258427,0.1511323926139468,0.2655591790032001
cluster,random_forest,7735,1933,0.0920848422141748,0.8380726015557476,0.4043084896042638,0.0694263383341955,0.65,7.05870786516854,0.54,5.864157303370787,0.51,5.538370786516854,0.44,4.778202247191011,0.276,2.99723595505618,0.2725592867271393,0.5455408724789179
cluster,xgboost,7735,1933,0.0920848422141748,0.733230897275841,0.2041246180041619,0.121904543971942,0.35,3.800842696629213,0.3,3.257865168539326,0.25,2.714887640449438,0.25,2.714887640449438,0.194,2.106752808988764,0.1568573394805094,0.2727990266451212
cluster,stacked_ensemble,7735,1933,0.0920848422141748,0.8298216972374276,0.3721174158208416,0.1747791365654427,0.65,7.05870786516854,0.54,5.864157303370787,0.44,4.778202247191011,0.4,4.343820224719101,0.262,2.8452022471910112,0.2673005886619295,0.4887687783333003
temporal,elastic_logistic,7732,1935,0.1162790697674418,0.547558154645874,0.122299878371878,0.162410704774019,0.05,0.43,0.04,0.344,0.05,0.43,0.065,0.559,0.13,1.118,0.1055601466779797,0.1439406003309733
temporal,random_forest,7732,1935,0.1162790697674418,0.5718063677712801,0.144794040758132,0.1125427307493539,0.05,0.43,0.04,0.344,0.09,0.774,0.18,1.548,0.154,1.3244,0.1214288050288347,0.1740407268058251
temporal,xgboost,7732,1935,0.1162790697674418,0.5788330084470436,0.1505102980175632,0.2844096697798559,0.1,0.8600000000000001,0.12,1.032,0.16,1.376,0.165,1.419,0.16,1.376,0.1264398839313031,0.1833277784882994
temporal,stacked_ensemble,7732,1935,0.1162790697674418,0.5727537361923327,0.1473651906778145,0.3172436074690989,0.05,0.43,0.08,0.6880000000000001,0.11,0.946,0.18,1.548,0.168,1.4448,0.122966735677755,0.177992674348814
