split,model_a,model_b,metric,difference_a_minus_b,ci_low,ci_high,bootstrap_replicates,resampling_unit
cluster,all_context_no_sequence_no_evidence,sequence_only,pr_auc,0.24905860655416856,0.206889281240651,0.29319875941544066,2000,edit_distance_2_cluster
cluster,all_context_no_sequence_no_evidence,sequence_only,roc_auc,0.1757062987500735,0.1494127403200481,0.20271474816800267,2000,edit_distance_2_cluster
cluster,assay_only,sequence_only,pr_auc,-0.11527162108859618,-0.15168087291851148,-0.07798562994189384,2000,edit_distance_2_cluster
cluster,assay_only,sequence_only,roc_auc,-0.11596682091168653,-0.14608575330603393,-0.08548779353215998,2000,edit_distance_2_cluster
cluster,biological_only,sequence_only,pr_auc,0.2484045935323096,0.20488895335420948,0.2938234153391148,2000,edit_distance_2_cluster
cluster,biological_only,sequence_only,roc_auc,0.16665210133488506,0.14014988919533472,0.19371046491470373,2000,edit_distance_2_cluster
cluster,evidence_only,sequence_only,pr_auc,-0.17930180193048695,-0.21511851018531983,-0.14375146707167977,2000,edit_distance_2_cluster
cluster,evidence_only,sequence_only,roc_auc,-0.18152823701592846,-0.20806010355569268,-0.1551435611372292,2000,edit_distance_2_cluster
cluster,sequence_plus_all_no_evidence,sequence_only,pr_auc,0.25435169007646896,0.21764130305261903,0.292937442474642,2000,edit_distance_2_cluster
cluster,sequence_plus_all_no_evidence,sequence_only,roc_auc,0.1841201285879115,0.1610823585124658,0.2079625111860497,2000,edit_distance_2_cluster
cluster,sequence_plus_all_with_evidence,sequence_only,pr_auc,0.2543004146510409,0.21762616701719964,0.29267180190481396,2000,edit_distance_2_cluster
cluster,sequence_plus_all_with_evidence,sequence_only,roc_auc,0.18397770176764128,0.16092721179556377,0.20783290230965,2000,edit_distance_2_cluster
cluster,sequence_plus_assay,sequence_only,pr_auc,0.061663834034969334,0.040988425195422666,0.08278240079896436,2000,edit_distance_2_cluster
cluster,sequence_plus_assay,sequence_only,roc_auc,0.04392664382675149,0.03332915489967278,0.0549136113802271,2000,edit_distance_2_cluster
cluster,sequence_plus_biological,sequence_only,pr_auc,0.2500673102178719,0.2132078301546822,0.2894454405748875,2000,edit_distance_2_cluster
cluster,sequence_plus_biological,sequence_only,roc_auc,0.17283273394227483,0.15051553281915966,0.19567981405919171,2000,edit_distance_2_cluster
exact,all_context_no_sequence_no_evidence,sequence_only,pr_auc,0.22027135482147542,0.1849299465318336,0.2536816036801867,2000,peptide
exact,all_context_no_sequence_no_evidence,sequence_only,roc_auc,0.15583089117338333,0.13454896938268346,0.17727485854775246,2000,peptide
exact,assay_only,sequence_only,pr_auc,-0.13728985621550605,-0.17081744629443035,-0.10455678915740596,2000,peptide
exact,assay_only,sequence_only,roc_auc,-0.13981420840940972,-0.16595579172006483,-0.1145109921198627,2000,peptide
exact,biological_only,sequence_only,pr_auc,0.210650065026044,0.17783251150978102,0.24450375306164981,2000,peptide
exact,biological_only,sequence_only,roc_auc,0.14712180699990296,0.12589334368853655,0.168809313869477,2000,peptide
exact,evidence_only,sequence_only,pr_auc,-0.21400027545588202,-0.24367124198716356,-0.1850616478214106,2000,peptide
exact,evidence_only,sequence_only,roc_auc,-0.20688154366559952,-0.2291975651101258,-0.18329791374327248,2000,peptide
exact,sequence_plus_all_no_evidence,sequence_only,pr_auc,0.23611831423156915,0.2054477125415111,0.26625433934828197,2000,peptide
exact,sequence_plus_all_no_evidence,sequence_only,roc_auc,0.16783192978045924,0.14937563499427225,0.18689951240660152,2000,peptide
exact,sequence_plus_all_with_evidence,sequence_only,pr_auc,0.2361484427888606,0.20546960032060319,0.26636923146577124,2000,peptide
exact,sequence_plus_all_with_evidence,sequence_only,roc_auc,0.16783964766743398,0.14939320782505475,0.1869270075677696,2000,peptide
exact,sequence_plus_assay,sequence_only,pr_auc,0.06777036330887865,0.04687267677165876,0.0885647712530215,2000,peptide
exact,sequence_plus_assay,sequence_only,roc_auc,0.03713929903945379,0.028153935161545702,0.0473171835083078,2000,peptide
exact,sequence_plus_biological,sequence_only,pr_auc,0.22898120130145372,0.19972958556687095,0.258063823462919,2000,peptide
exact,sequence_plus_biological,sequence_only,roc_auc,0.15873460832826147,0.1410219646010291,0.17677766277980642,2000,peptide
