split,feature,configuration,pr_auc,roc_auc,fit_and_predict_seconds,n_train,n_test
exact,virus_species,feature_only,0.5309633948950978,0.7515908494526915,0.0226557920104824,16630,4155
exact,virus_species,sequence_plus_feature,0.6370694194568547,0.8025892683884169,0.3106737499911105,16630,4155
exact,virus_strain,feature_only,0.6466507721532723,0.8236931412241009,0.017447833000915125,16630,4155
exact,virus_strain,sequence_plus_feature,0.7065464263810386,0.850847561809249,0.3105405829992378,16630,4155
exact,antigen,feature_only,0.5309633948950978,0.7515908494526915,0.019069000001763925,16630,4155
exact,antigen,sequence_plus_feature,0.6370694194568547,0.8025892683884169,0.3177049160003662,16630,4155
exact,protein,feature_only,0.6229626625710728,0.8063283089889127,0.021078459001728334,16630,4155
exact,protein,sequence_plus_feature,0.6822114804267367,0.8392113311811454,0.3200965830037603,16630,4155
exact,assay_method,feature_only,0.39108949689803374,0.5732716894675098,0.011211000004550442,16630,4155
exact,assay_method,sequence_plus_feature,0.5972150820264842,0.7550753376024274,0.2655912500049453,16630,4155
exact,readout,feature_only,0.3003610108303249,0.5,0.009473541998886503,16630,4155
exact,readout,sequence_plus_feature,0.534591022190628,0.7244296757164406,0.2540515000000596,16630,4155
exact,host,feature_only,0.3087268109316879,0.5186618507051943,0.011614709001150914,16630,4155
exact,host,sequence_plus_feature,0.5386104506991181,0.7320633550316212,0.25606266599788796,16630,4155
exact,length,feature_only,0.4214291695860654,0.6168328217476824,0.005542416998650879,16630,4155
exact,length,sequence_plus_feature,0.5629031592025868,0.7532204261596676,0.26047566600027494,16630,4155
exact,log_evidence_count,feature_only,0.32059230380397225,0.5175484076896615,0.004972584007191472,16630,4155
exact,log_evidence_count,sequence_plus_feature,0.5345578477800355,0.7252250315330812,0.2598908749932889,16630,4155
cluster,virus_species,feature_only,0.5291449241119378,0.7384147535379928,0.019676208990858868,16637,4148
cluster,virus_species,sequence_plus_feature,0.6056397184799502,0.7750834372265544,0.30879700000514276,16637,4148
cluster,virus_strain,feature_only,0.6447131532876106,0.8083521299861831,0.018656291998922825,16637,4148
cluster,virus_strain,sequence_plus_feature,0.6849986052105264,0.8278641895277845,0.31113933300366625,16637,4148
cluster,antigen,feature_only,0.5291449241119378,0.7384147535379928,0.018707084003835917,16637,4148
cluster,antigen,sequence_plus_feature,0.6056397184799502,0.7750834372265544,0.3044931249896763,16637,4148
cluster,protein,feature_only,0.6311991426830053,0.8006957895866359,0.019811709003988653,16637,4148
cluster,protein,sequence_plus_feature,0.6693663146883259,0.8264331456802361,0.3163747910002712,16637,4148
cluster,assay_method,feature_only,0.37434324866541596,0.5662557122834421,0.01259354199282825,16637,4148
cluster,assay_method,sequence_plus_feature,0.552534504591187,0.7330232761376724,0.28033295800560154,16637,4148
cluster,readout,feature_only,0.3003857280617165,0.5,0.009355332993436605,16637,4148
cluster,readout,sequence_plus_feature,0.5003777219779487,0.7001548995379288,0.26585491599689703,16637,4148
cluster,host,feature_only,0.31444920491487005,0.5264858574315826,0.013331082998774946,16637,4148
cluster,host,sequence_plus_feature,0.511692193207062,0.712569540240693,0.26486212501185946,16637,4148
cluster,length,feature_only,0.4314631594983557,0.624680300185957,0.005543459003092721,16637,4148
cluster,length,sequence_plus_feature,0.5365861441627802,0.7455262767803905,0.25713125000766013,16637,4148
cluster,log_evidence_count,feature_only,0.32108531601845147,0.5186302577621235,0.005434999999124557,16637,4148
cluster,log_evidence_count,sequence_plus_feature,0.5021489638471839,0.7007713449406122,0.255253959010588,16637,4148
temporal,virus_species,feature_only,0.41073514683445994,0.6452913811511096,0.01849966699955985,16723,4061
temporal,virus_species,sequence_plus_feature,0.44999708729816973,0.6064376799670916,0.304271291999612,16723,4061
temporal,virus_strain,feature_only,0.3024775597480972,0.42082488066650964,0.017141916003311053,16723,4061
temporal,virus_strain,sequence_plus_feature,0.4106343554185988,0.590053716184938,0.30926220800029114,16723,4061
temporal,antigen,feature_only,0.41073514683445994,0.6452913811511096,0.01883241700124927,16723,4061
temporal,antigen,sequence_plus_feature,0.44999708729816973,0.6064376799670916,0.3053448329883395,16723,4061
temporal,protein,feature_only,0.3149378680374648,0.5742308219683786,0.018646958997123875,16723,4061
temporal,protein,sequence_plus_feature,0.3651748441727588,0.6224644929396059,0.2899946250108769,16723,4061
temporal,assay_method,feature_only,0.3183160275578958,0.47662610558538165,0.011770084005547687,16723,4061
temporal,assay_method,sequence_plus_feature,0.4808151252312173,0.6598849030975729,0.2631582920002984,16723,4061
temporal,readout,feature_only,0.29253878355084956,0.5,0.01016154199896846,16723,4061
temporal,readout,sequence_plus_feature,0.44013740194881673,0.6321381819119376,0.25068733299849555,16723,4061
temporal,host,feature_only,0.29253878355084956,0.5,0.012745040992740542,16723,4061
temporal,host,sequence_plus_feature,0.4368991640165169,0.6294919258720164,0.25476658300613053,16723,4061
temporal,length,feature_only,0.31514166787780673,0.4563054257624393,0.0058027499908348545,16723,4061
temporal,length,sequence_plus_feature,0.4073275472085962,0.6023516871933161,0.2687984999938635,16723,4061
temporal,log_evidence_count,feature_only,0.3199118966617534,0.5215671918160606,0.004755707996082492,16723,4061
temporal,log_evidence_count,sequence_plus_feature,0.44236221909930795,0.6339085541574229,0.24774333399545867,16723,4061
