construction,split,model,n_train_rows,n_test_rows,n_train_peptides,n_test_peptides,test_positive_rate,roc_auc,pr_auc,fit_and_predict_seconds
majority_all,exact,sequence_only,16630,4155,13865,3467,0.3003610108303249,0.724429951355261,0.5345925792598543,0.2554548330081161
majority_all,exact,biological_only,16630,4155,13865,3467,0.3003610108303249,0.871551758355164,0.7452426442858983,0.05128612500266172
majority_all,exact,sequence_plus_all_no_evidence,16630,4155,13865,3467,0.3003610108303249,0.8922618811357202,0.7707108934914234,0.4251852500019595
majority_all,exact,all_context_no_sequence_no_evidence,16630,4155,13865,3467,0.3003610108303249,0.8802608425286443,0.7548639340813297,0.07144049998896662
majority_all,cluster,sequence_only,16637,4148,13865,3467,0.3003857280617165,0.7001584947780519,0.5003871179489384,0.24278545899142046
majority_all,cluster,biological_only,16637,4148,13865,3467,0.3003857280617165,0.866810596112937,0.748791711481248,0.048737791992607526
majority_all,cluster,sequence_plus_all_no_evidence,16637,4148,13865,3467,0.3003857280617165,0.8842786233659634,0.7547388080254074,0.4222403340099845
majority_all,cluster,all_context_no_sequence_no_evidence,16637,4148,13865,3467,0.3003857280617165,0.8758647935281254,0.749445724503107,0.07289445798960514
majority_all,temporal,sequence_only,16723,4061,13559,3772,0.29253878355084956,0.6321311502306978,0.4401109912714723,0.23844020899559837
majority_all,temporal,biological_only,16723,4061,13559,3772,0.29253878355084956,0.6176937902051025,0.3873367666749686,0.04943512500904035
majority_all,temporal,sequence_plus_all_no_evidence,16723,4061,13559,3772,0.29253878355084956,0.6364746783298819,0.4873609602811569,0.3994484580034623
majority_all,temporal,all_context_no_sequence_no_evidence,16723,4061,13559,3772,0.29253878355084956,0.5668333468107223,0.45771930521359294,0.07572266600618605
majority_excluding_ties,exact,sequence_only,16078,4045,13500,3399,0.3085290482076638,0.7310485478947224,0.5561135806191758,0.23278370799380355
majority_excluding_ties,exact,biological_only,16078,4045,13500,3399,0.3085290482076638,0.8763229604979694,0.7583230031729227,0.047412542000529356
majority_excluding_ties,exact,sequence_plus_all_no_evidence,16078,4045,13500,3399,0.3085290482076638,0.8983835703088473,0.787705771343419,0.4061384999949951
majority_excluding_ties,exact,all_context_no_sequence_no_evidence,16078,4045,13500,3399,0.3085290482076638,0.8862455939513949,0.7682148571895498,0.06761429199832492
majority_excluding_ties,cluster,sequence_only,16104,4019,13510,3389,0.31002736999253544,0.7040346635378179,0.5192954438809653,0.23445154199725948
majority_excluding_ties,cluster,biological_only,16104,4019,13510,3389,0.31002736999253544,0.8729697744647278,0.7681594205519672,0.04863154199847486
majority_excluding_ties,cluster,sequence_plus_all_no_evidence,16104,4019,13510,3389,0.31002736999253544,0.8920645597104386,0.7784868372404917,0.40067812500637956
majority_excluding_ties,cluster,all_context_no_sequence_no_evidence,16104,4019,13510,3389,0.31002736999253544,0.8833610503484935,0.7695734459330801,0.06789329099410679
majority_excluding_ties,temporal,sequence_only,16320,3802,13341,3557,0.31246712256707,0.6362568879305681,0.4669284382250339,0.22832424999796785
majority_excluding_ties,temporal,biological_only,16320,3802,13341,3557,0.31246712256707,0.6021294299794683,0.3956929083256536,0.04824950000329409
majority_excluding_ties,temporal,sequence_plus_all_no_evidence,16320,3802,13341,3557,0.31246712256707,0.6607273963815663,0.5268282819036959,0.3928300409897929
majority_excluding_ties,temporal,all_context_no_sequence_no_evidence,16320,3802,13341,3557,0.31246712256707,0.6082794599913958,0.48906736301970993,0.07317612499173265
consistent_labels_only,exact,sequence_only,15734,3964,13320,3356,0.3044904137235116,0.7331418797192896,0.5560389770589091,0.22536374999617692
consistent_labels_only,exact,biological_only,15734,3964,13320,3356,0.3044904137235116,0.8806579260924741,0.7617050403686272,0.04663545799849089
consistent_labels_only,exact,sequence_plus_all_no_evidence,15734,3964,13320,3356,0.3044904137235116,0.9019009832319569,0.791355286459114,0.36931495800672565
consistent_labels_only,exact,all_context_no_sequence_no_evidence,15734,3964,13320,3356,0.3044904137235116,0.8895727948952115,0.7702968774604666,0.07012062500871252
consistent_labels_only,cluster,sequence_only,15759,3939,13329,3347,0.30591520690530594,0.7017169681314445,0.510657274251909,0.22806154200225137
consistent_labels_only,cluster,biological_only,15759,3939,13329,3347,0.30591520690530594,0.8794337177148371,0.7734597137628052,0.04778199999418575
consistent_labels_only,cluster,sequence_plus_all_no_evidence,15759,3939,13329,3347,0.30591520690530594,0.8964328101333447,0.7823002074214704,0.4034672919951845
consistent_labels_only,cluster,all_context_no_sequence_no_evidence,15759,3939,13329,3347,0.30591520690530594,0.8894793396206369,0.7748356630078156,0.07196058399858885
consistent_labels_only,temporal,sequence_only,16082,3615,13260,3415,0.3062240663900415,0.6366735750026293,0.4627250426898235,0.22867333400063217
consistent_labels_only,temporal,biological_only,16082,3615,13260,3415,0.3062240663900415,0.5938989812545652,0.3883377245505719,0.05039887499879114
consistent_labels_only,temporal,sequence_plus_all_no_evidence,16082,3615,13260,3415,0.3062240663900415,0.6671536359170078,0.5283682119551344,0.38669679198937956
consistent_labels_only,temporal,all_context_no_sequence_no_evidence,16082,3615,13260,3415,0.3062240663900415,0.6446885774014572,0.5016379903094139,0.0734159580024425
