split,model,metric,point_estimate,ci_low,ci_high,bootstrap_replicates,resampling_unit
cluster,elastic_logistic,pr_auc,0.20022668711257927,0.1511323926139468,0.2655591790032001,2000,edit_distance_2_cluster
cluster,elastic_logistic,roc_auc,0.6829475975543391,0.6300695707039342,0.7568703701031417,2000,edit_distance_2_cluster
cluster,elastic_logistic,precision_at_20,0.25,0.1,0.5,2000,edit_distance_2_cluster
cluster,random_forest,pr_auc,0.4043084896042638,0.2725592867271393,0.5455408724789179,2000,edit_distance_2_cluster
cluster,random_forest,roc_auc,0.8380726015557476,0.7694396571293556,0.8825665722503742,2000,edit_distance_2_cluster
cluster,random_forest,precision_at_20,0.65,0.4,0.85,2000,edit_distance_2_cluster
cluster,stacked_ensemble,pr_auc,0.3721174158208416,0.2673005886619295,0.4887687783333003,2000,edit_distance_2_cluster
cluster,stacked_ensemble,roc_auc,0.8298216972374276,0.7720443035221802,0.8662581333064038,2000,edit_distance_2_cluster
cluster,stacked_ensemble,precision_at_20,0.65,0.4,0.8,2000,edit_distance_2_cluster
cluster,xgboost,pr_auc,0.20412461800416196,0.1568573394805094,0.2727990266451212,2000,edit_distance_2_cluster
cluster,xgboost,roc_auc,0.733230897275841,0.6941256918649211,0.7841729694078984,2000,edit_distance_2_cluster
cluster,xgboost,precision_at_20,0.35,0.1,0.55,2000,edit_distance_2_cluster
exact,elastic_logistic,pr_auc,0.3606405663404083,0.29380740631367314,0.43346997394790604,2000,peptide
exact,elastic_logistic,roc_auc,0.7418161807990581,0.7001211897011826,0.7840498168636576,2000,peptide
exact,elastic_logistic,precision_at_20,0.9,0.7,1.0,2000,peptide
exact,random_forest,pr_auc,0.4720332520584153,0.3997073996184333,0.5459793208021092,2000,peptide
exact,random_forest,roc_auc,0.8386751042973049,0.801710756269267,0.8736244698310647,2000,peptide
exact,random_forest,precision_at_20,0.9,0.7,1.0,2000,peptide
exact,stacked_ensemble,pr_auc,0.4789932611644768,0.40608882500708077,0.5516017370796563,2000,peptide
exact,stacked_ensemble,roc_auc,0.8471724552737325,0.8130561046092242,0.8795712116691631,2000,peptide
exact,stacked_ensemble,precision_at_20,0.9,0.75,1.0,2000,peptide
exact,xgboost,pr_auc,0.4086857209320915,0.33737848343162313,0.4822416612305125,2000,peptide
exact,xgboost,roc_auc,0.8143380000511888,0.7787998135883639,0.8479409497800934,2000,peptide
exact,xgboost,precision_at_20,0.9,0.65,1.0,2000,peptide
temporal,elastic_logistic,pr_auc,0.12229987837187802,0.10556014667797975,0.1439406003309733,2000,peptide
temporal,elastic_logistic,roc_auc,0.547558154645874,0.5111155973744969,0.5834032262783317,2000,peptide
temporal,elastic_logistic,precision_at_20,0.05,0.0,0.15,2000,peptide
temporal,random_forest,pr_auc,0.14479404075813207,0.12142880502883474,0.17404072680582516,2000,peptide
temporal,random_forest,roc_auc,0.5718063677712801,0.5318071979581714,0.6125395195499587,2000,peptide
temporal,random_forest,precision_at_20,0.05,0.0,0.15,2000,peptide
temporal,stacked_ensemble,pr_auc,0.14736519067781456,0.12296673567775501,0.17799267434881408,2000,peptide
temporal,stacked_ensemble,roc_auc,0.5727537361923327,0.5318454246451508,0.6147784734330037,2000,peptide
temporal,stacked_ensemble,precision_at_20,0.05,0.0,0.15,2000,peptide
temporal,xgboost,pr_auc,0.15051029801756322,0.12643988393130318,0.18332777848829943,2000,peptide
temporal,xgboost,roc_auc,0.5788330084470436,0.5376438340900889,0.6204189908716723,2000,peptide
temporal,xgboost,precision_at_20,0.1,0.0,0.2,2000,peptide
