split,model,full_fit_seconds,test_inference_seconds,serialized_model_bytes
exact,elastic_logistic,0.0777579169953242,0.0006730419991072267,286492
exact,random_forest,5.235570792006911,0.21966175000125077,41087362
exact,xgboost,43.643609624996316,0.09027795800648164,421030
exact,stacked_ensemble,102.58872529100336,,632
cluster,elastic_logistic,0.07968429099128116,0.000426417012931779,252522
cluster,random_forest,3.8015817499981495,0.1590946670039557,41177162
cluster,xgboost,16.98429350000515,0.025220625000656582,400314
cluster,stacked_ensemble,63.92714574999991,,636
temporal,elastic_logistic,0.048630959005095065,0.00047079200157895684,290317
temporal,random_forest,4.000305458001094,0.19214954199560452,37778010
temporal,xgboost,21.6053627920046,0.027697291996446438,409631
temporal,stacked_ensemble,69.22381012501137,,632
