split,model_a,model_b,metric,difference_a_minus_b,ci_low,ci_high,bootstrap_replicates,resampling_unit
cluster,random_forest,elastic_logistic,pr_auc,0.20408180249168453,0.09289589017913188,0.29998560870513313,2000,edit_distance_2_cluster
cluster,random_forest,elastic_logistic,roc_auc,0.1551250040014085,0.046628279836740984,0.23666377573223152,2000,edit_distance_2_cluster
cluster,random_forest,elastic_logistic,precision_at_20,0.4,0.09999999999999998,0.6499999999999999,2000,edit_distance_2_cluster
cluster,random_forest,stacked_ensemble,pr_auc,0.032191073783422175,-0.004625294641269413,0.06383734237603099,2000,edit_distance_2_cluster
cluster,random_forest,stacked_ensemble,roc_auc,0.008250904318319985,-0.006435365031462895,0.020751803906160785,2000,edit_distance_2_cluster
cluster,random_forest,stacked_ensemble,precision_at_20,0.0,-0.09999999999999998,0.15000000000000002,2000,edit_distance_2_cluster
cluster,random_forest,xgboost,pr_auc,0.20018387160010184,0.09008745798551647,0.29164024628006563,2000,edit_distance_2_cluster
cluster,random_forest,xgboost,roc_auc,0.10484170427990658,0.0349831018005608,0.1617910259098613,2000,edit_distance_2_cluster
cluster,random_forest,xgboost,precision_at_20,0.30000000000000004,0.04875000000000001,0.6,2000,edit_distance_2_cluster
exact,random_forest,elastic_logistic,pr_auc,0.11139268571800698,0.06879814171632015,0.1551649103693313,2000,peptide
exact,random_forest,elastic_logistic,roc_auc,0.09685892349824676,0.06001439760606247,0.13438229531176765,2000,peptide
exact,random_forest,elastic_logistic,precision_at_20,0.0,-0.09999999999999998,0.15000000000000002,2000,peptide
exact,random_forest,stacked_ensemble,pr_auc,-0.006960009106061538,-0.01917948985985663,0.00499198962587223,2000,peptide
exact,random_forest,stacked_ensemble,roc_auc,-0.008497350976427676,-0.020983365497152445,0.0033640040013077775,2000,peptide
exact,random_forest,stacked_ensemble,precision_at_20,0.0,-0.050000000000000044,0.050000000000000044,2000,peptide
exact,random_forest,xgboost,pr_auc,0.0633475311263238,0.013227854723533246,0.11432199042173727,2000,peptide
exact,random_forest,xgboost,roc_auc,0.024337104246116015,-0.000540129975553602,0.050427698677008206,2000,peptide
exact,random_forest,xgboost,precision_at_20,0.0,-0.15000000000000002,0.19999999999999996,2000,peptide
temporal,random_forest,elastic_logistic,pr_auc,0.022494162386254055,0.007417027588446264,0.04033933134324109,2000,peptide
temporal,random_forest,elastic_logistic,roc_auc,0.02424821312540615,-0.014067538107636612,0.0636549798515118,2000,peptide
temporal,random_forest,elastic_logistic,precision_at_20,0.0,-0.05,0.0,2000,peptide
temporal,random_forest,stacked_ensemble,pr_auc,-0.0025711499196824916,-0.005210938426936422,-0.000429260734627677,2000,peptide
temporal,random_forest,stacked_ensemble,roc_auc,-0.0009473684210525857,-0.006386184673719078,0.004665085221483503,2000,peptide
temporal,random_forest,stacked_ensemble,precision_at_20,0.0,-0.05,0.0,2000,peptide
temporal,random_forest,xgboost,pr_auc,-0.005716257259431146,-0.026989665971959967,0.013109781975255981,2000,peptide
temporal,random_forest,xgboost,roc_auc,-0.007026640675763418,-0.02767841525138196,0.014370655574792383,2000,peptide
temporal,random_forest,xgboost,precision_at_20,-0.05,-0.2,0.1,2000,peptide
