analysis,design,model,n_train,n_test,test_prevalence,roc_auc,pr_auc,brier_score,precision_at_20,enrichment_at_20,precision_at_50,enrichment_at_50,precision_at_100,enrichment_at_100,precision_at_200,enrichment_at_200,precision_at_500,enrichment_at_500
strict_temporal_latest_before_2021,temporal,elastic_logistic,7643,1935,0.11627906976744186,0.543337231968811,0.12109790783176708,0.16038801070854072,0.0,0.0,0.04,0.34400000000000003,0.02,0.17200000000000001,0.075,0.645,0.126,1.0836000000000001
strict_temporal_latest_before_2021,temporal,random_forest,7643,1935,0.11627906976744186,0.5615217673814166,0.13395843393543322,0.11256285478036177,0.0,0.0,0.02,0.17200000000000001,0.11,0.9460000000000001,0.135,1.161,0.142,1.2211999999999998
strict_temporal_latest_before_2021,temporal,xgboost,7643,1935,0.11627906976744186,0.5759038336582196,0.14795098312772115,0.28353244066238403,0.05,0.43000000000000005,0.1,0.8600000000000001,0.13,1.118,0.165,1.419,0.158,1.3588
strict_temporal_latest_before_2021,temporal,stacked_ensemble,7643,1935,0.11627906976744186,0.5644236517218973,0.1365856480375151,0.3226523590809443,0.0,0.0,0.04,0.34400000000000003,0.12,1.032,0.145,1.2469999999999999,0.156,1.3416000000000001
minimum_total_tested_10,exact,elastic_logistic,4814,1202,0.029118136439267885,0.7442281797037581,0.19400353617058028,0.03677207220032392,0.3,10.302857142857142,0.2,6.868571428571429,0.13,4.464571428571429,0.095,3.262571428571429,0.056,1.9232000000000002
minimum_total_tested_10,exact,random_forest,4814,1202,0.029118136439267885,0.86462235279716,0.2971121034268058,0.02423313144758735,0.4,13.737142857142858,0.24,8.242285714285714,0.16,5.4948571428571436,0.13,4.464571428571429,0.064,2.1979428571428574
minimum_total_tested_10,exact,xgboost,4814,1202,0.029118136439267885,0.8370179948586117,0.2254674917911701,0.09072332829236984,0.2,6.868571428571429,0.26,8.929142857142859,0.16,5.4948571428571436,0.125,4.292857142857143,0.06,2.0605714285714285
minimum_total_tested_10,exact,stacked_ensemble,4814,1202,0.029118136439267885,0.8833884196352063,0.30537402199382735,0.17960024822803292,0.35,12.02,0.26,8.929142857142859,0.21,7.212,0.13,4.464571428571429,0.064,2.1979428571428574
minimum_total_tested_10,cluster,elastic_logistic,4768,1248,0.03445512820512821,0.7581395348837209,0.13797832862001702,0.050493205294885796,0.25,7.255813953488372,0.18,5.224186046511627,0.17,4.933953488372093,0.1,2.9023255813953486,0.062,1.7994418604651161
minimum_total_tested_10,cluster,random_forest,4768,1248,0.03445512820512821,0.8439641030589597,0.21965981125122144,0.030132391025641025,0.25,7.255813953488372,0.26,7.546046511627907,0.26,7.546046511627907,0.165,4.788837209302326,0.074,2.1477209302325577
minimum_total_tested_10,cluster,xgboost,4768,1248,0.03445512820512821,0.7852552349705683,0.1752439288068196,0.04159059748053551,0.2,5.804651162790697,0.24,6.965581395348837,0.2,5.804651162790697,0.13,3.7730232558139534,0.068,1.9735813953488373
minimum_total_tested_10,cluster,stacked_ensemble,4768,1248,0.03445512820512821,0.8460484415709736,0.22698758605446598,0.15829962241827814,0.25,7.255813953488372,0.26,7.546046511627907,0.27,7.836279069767442,0.155,4.498604651162791,0.074,2.1477209302325577
minimum_total_tested_10,temporal,elastic_logistic,4827,1189,0.04373423044575273,0.49883296123401666,0.041675508863284735,0.0748032676614136,0.0,0.0,0.02,0.4573076923076923,0.03,0.6859615384615384,0.035,0.8002884615384617,0.04,0.9146153846153846
minimum_total_tested_10,temporal,random_forest,4827,1189,0.04373423044575273,0.5241610851769163,0.05007955682375065,0.04835627586206896,0.0,0.0,0.04,0.9146153846153846,0.02,0.4573076923076923,0.065,1.48625,0.048,1.0975384615384616
minimum_total_tested_10,temporal,xgboost,4827,1189,0.04373423044575273,0.5684831878763278,0.05692365453988381,0.19363972544670105,0.0,0.0,0.04,0.9146153846153846,0.06,1.3719230769230768,0.08,1.8292307692307692,0.058,1.326192307692308
minimum_total_tested_10,temporal,stacked_ensemble,4827,1189,0.04373423044575273,0.5509099519653609,0.05303833666997293,0.3251113525916207,0.0,0.0,0.02,0.4573076923076923,0.04,0.9146153846153846,0.075,1.7149038461538462,0.054,1.2347307692307692
