artifact,type,bytes,relative_path
table_01_split_summary.csv,csv,388,05_results/validated/publication_outputs/tables/table_01_split_summary.csv
table_02_sequence_performance.csv,csv,3160,05_results/validated/publication_outputs/tables/table_02_sequence_performance.csv
table_03_context_sensitivity.csv,csv,990,05_results/validated/publication_outputs/tables/table_03_context_sensitivity.csv
table_03b_context_constructions.csv,csv,287,05_results/validated/publication_outputs/tables/table_03b_context_constructions.csv
table_04_calibration.csv,csv,736,05_results/validated/publication_outputs/tables/table_04_calibration.csv
table_04b_efficiency.csv,csv,809,05_results/validated/publication_outputs/tables/table_04b_efficiency.csv
table_05_esm2_comparison.csv,csv,171,05_results/validated/publication_outputs/tables/table_05_esm2_comparison.csv
table_05b_motif_summary.csv,csv,189,05_results/validated/publication_outputs/tables/table_05b_motif_summary.csv
figure_01_sequence_models.png,png,90397,05_results/validated/publication_outputs/figures/figure_01_sequence_models.png
figure_02_context_sensitivity.png,png,139594,05_results/validated/publication_outputs/figures/figure_02_context_sensitivity.png
figure_03_calibration.png,png,105944,05_results/validated/publication_outputs/figures/figure_03_calibration.png
figure_04_esm2_motifs.png,png,97853,05_results/validated/publication_outputs/figures/figure_04_esm2_motifs.png
